"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:58:32.7067982 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"1:58:32.7068105 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"1:58:32.7068219 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"1:58:32.7068332 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"1:58:32.7068437 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"1:58:32.7068548 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"1:58:32.7068842 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7068922 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7068999 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"1:58:32.7069083 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"1:58:32.7071385 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFile","C:\Windows","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"1:58:32.7073549 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\System32\wow64.dll","SUCCESS","Image Base: 0x7ff9f4470000, Image Size: 0x59000"
"1:58:32.7074675 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\System32\wow64win.dll","SUCCESS","Image Base: 0x7ff9f4030000, Image Size: 0x83000"
"1:58:32.7077649 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"1:58:32.7080454 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:58:32.7080785 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","QueryNameInformationFile","C:\Windows","SUCCESS","Name: \Windows"
"1:58:32.7080898 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CloseFile","C:\Windows","SUCCESS",""
"1:58:32.7081150 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\Software\Microsoft\Wow64\x86","SUCCESS","Desired Access: Read"
"1:58:32.7081525 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\5fc6f24d43bc7ca45a81d159291955d1.exe","NAME NOT FOUND","Length: 520"
"1:58:32.7081608 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\SOFTWARE\Microsoft\Wow64\x86\(Default)","SUCCESS","Type: REG_SZ, Length: 26, Data: wow64cpu.dll"
"1:58:32.7081711 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\SOFTWARE\Microsoft\Wow64\x86","SUCCESS",""
"1:58:32.7082776 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\System32\wow64cpu.dll","SUCCESS","Image Base: 0x77a80000, Image Size: 0xa000"
"1:58:32.7085335 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"1:58:32.7085457 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"1:58:32.7085575 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7085669 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"1:58:32.7085949 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"1:58:32.7086083 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"1:58:32.7086330 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"1:58:32.7087017 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7087130 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7087240 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7087315 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"1:58:32.7087418 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"1:58:32.7089903 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFile","D:\Internship Report","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"1:58:32.7091426 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x77700000, Image Size: 0xf0000"
"1:58:32.7092721 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x75f30000, Image Size: 0x214000"
"1:58:32.7099796 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"1:58:32.7099957 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"1:58:32.7100143 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"1:58:32.7100229 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"1:58:32.7100390 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers","REPARSE","Desired Access: Query Value"
"1:58:32.7100903 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"1:58:32.7101094 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7101180 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"1:58:32.7101285 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"1:58:32.7101451 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"1:58:32.7101727 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"1:58:32.7102052 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"1:58:32.7102205 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7102286 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"1:58:32.7102396 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"1:58:32.7102555 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"1:58:32.7102651 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"1:58:32.7102732 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7102823 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LPGO","NAME NOT FOUND","Length: 20"
"1:58:32.7102911 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"1:58:32.7103919 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7104185 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7104303 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7104430 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"1:58:32.7104512 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DllNXOptions","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7113040 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read"
"1:58:32.7113151 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read"
"1:58:32.7113288 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7113365 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 00060305"
"1:58:32.7113727 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","QueryNameInformationFile","D:\Internship Report\5fc6f24d43bc7ca45a81d159291955d1.exe","SUCCESS","Name: \Internship Report\5fc6f24d43bc7ca45a81d159291955d1.exe"
"1:58:32.7114236 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","ReadFile","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Offset: 282,624, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"1:58:32.7838904 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\user32.dll","SUCCESS","Image Base: 0x761c0000, Image Size: 0x196000"
"1:58:32.7841142 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\win32u.dll","SUCCESS","Image Base: 0x76820000, Image Size: 0x18000"
"1:58:32.7842353 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Thread Create","","SUCCESS","Thread ID: 4968"
"1:58:32.7844074 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\gdi32.dll","SUCCESS","Image Base: 0x775e0000, Image Size: 0x23000"
"1:58:32.7845582 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\gdi32full.dll","SUCCESS","Image Base: 0x765c0000, Image Size: 0xda000"
"1:58:32.7847289 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\msvcp_win.dll","SUCCESS","Image Base: 0x75d90000, Image Size: 0x7b000"
"1:58:32.7848558 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\ucrtbase.dll","SUCCESS","Image Base: 0x77450000, Image Size: 0x120000"
"1:58:32.7849996 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Thread Create","","SUCCESS","Thread ID: 5412"
"1:58:32.7853331 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7853434 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7853541 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:58:32.7853606 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"1:58:32.7853702 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"1:58:32.7857437 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:58:32.7857978 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","QueryBasicInformationFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","CreationTime: 11/18/2020 7:49:43 PM, LastAccessTime: 8/22/2022 12:55:00 PM, LastWriteTime: 11/18/2020 7:49:43 PM, ChangeTime: 6/6/2021 12:01:07 AM, FileAttributes: A"
"1:58:32.7858052 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"1:58:32.7858574 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:58:32.7858777 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"1:58:32.7858847 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","QueryStandardInformationFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS","AllocationSize: 143,360, EndOfFile: 143,056, NumberOfLinks: 2, DeletePending: False, Directory: False"
"1:58:32.7858986 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CreateFileMapping","C:\Windows\SysWOW64\imm32.dll","SUCCESS","SyncType: SyncTypeOther"
"1:58:32.7859429 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","CloseFile","C:\Windows\SysWOW64\imm32.dll","SUCCESS",""
"1:58:32.7860706 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","Load Image","C:\Windows\SysWOW64\imm32.dll","SUCCESS","Image Base: 0x764d0000, Image Size: 0x25000"
"1:58:32.7861923 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument\","REPARSE","Desired Access: Read"
"1:58:32.7862021 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument","NAME NOT FOUND","Desired Access: Read"
"1:58:32.7862507 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"1:58:32.7862581 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\5fc6f24d43bc7ca45a81d159291955d1.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"1:58:32.7862854 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Display","REPARSE","Desired Access: Read"
"1:58:32.7863042 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
"1:58:32.7863297 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\Software\WOW6432Node\Policies\Microsoft\Windows\Display","REPARSE","Desired Access: Read"
"1:58:32.7863415 PM","5fc6f24d43bc7ca45a81d159291955d1.exe","5172","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Display","NAME NOT FOUND","Desired Access: Read"
